iter	Passed	Remaining
564	40197	36711
565	40235	36609
566	40279	36514
567	40323	36418
568	40367	36323
569	40421	36237
570	40473	36149
571	40530	36066
572	40577	35974
573	40630	35887
574	40674	35793
575	40727	35707
576	40789	35629
577	40850	35549
578	40931	35488
579	41008	35423
580	41064	35339
581	41126	35260
582	41189	35184
583	41249	35104
584	41326	35039
585	41406	34976
586	41458	34890
587	41514	34807
588	41560	34716
589	41631	34646
590	41685	34561
591	41774	34506
592	41831	34424
593	41896	34349
594	41943	34259
595	42011	34187
596	42083	34117
597	42135	34032
598	42188	33948
599	42242	33864
600	42289	33775
601	42357	33703
602	42419	33625
603	42472	33541
604	42562	33487
605	42631	33415
606	42675	33325
607	42732	33244
608	42776	33153
609	42835	33074
610	42876	32981
611	42921	32892
612	42976	32810
613	43027	32726
614	43080	32643
615	43139	32564
616	43191	32481
617	43242	32397
618	43297	32315
619	43347	32230
620	43413	32157
621	43486	32090
622	43571	32032
623	43630	31953
624	43691	31877
625	43736	31789
626	43784	31703
627	43836	31621
628	43888	31538
629	43940	31455
630	43988	31370
631	44063	31304
632	44110	31218
633	44187	31154
634	44237	31071
635	44284	30985
636	44349	30912
637	44395	30826
638	44448	30745
639	44496	30660
640	44550	30580
641	44618	30510
642	44706	30453
643	44781	30387
644	44848	30315
645	44908	30240
646	44961	30159
647	45060	30109
648	45126	30037
649	45171	29952
650	45226	29873
651	45292	29801
652	45368	29736
653	45444	29670
654	45503	29594
655	45558	29515
656	45611	29435
657	45667	29357
658	45731	29284
659	45784	29205
660	45834	29123
661	45897	29050
662	45965	28979
663	46018	28900
664	46073	28822
665	46121	28739
666	46156	28648
667	46201	28564
668	46266	28493
669	46331	28421
670	46394	28348
671	46463	28279
672	46514	28198
673	46576	28125
674	46629	28046
675	46686	27970
676	46739	27891
677	46798	27816
678	46897	27765
679	46996	27714
680	47055	27638
681	47104	27558
682	47155	27478
683	47216	27404
684	47263	27323
685	47345	27261
686	47520	27253
687	47603	27192
688	47672	27122
689	47724	27043
690	47797	26977
691	47857	26902
692	47894	26815
693	47955	26741
694	48024	26672
695	48145	26632
696	48220	26566
697	48273	26488
698	48321	26407
699	48387	26336
700	48511	26297
701	48575	26225
702	48642	26154
703	48771	26117
704	48858	26057
705	48931	25990
